source_file,model_name,kl_divergence,excluded_artifact,timestamp
ka_validation_coney__gpt-oss_claude-sonnet4.6_latest_20260520_204952_m08.json,coney_/gpt-oss_claude-sonnet4.6:latest,0.22314,False,2026-05-20T21:24:04.713705
ka_validation_coney__gpt-oss_claude-sonnet4.6_latest_20260520_204952_m08.json,coney_/gpt-oss_claude-sonnet4.6:latest,17.0651,False,2026-05-20T21:24:04.713705
ka_validation_coney__gpt-oss_claude-sonnet4.6_latest_20260520_204952_m08.json,coney_/gpt-oss_claude-sonnet4.6:latest,18.08421,False,2026-05-20T21:24:04.713705
ka_validation_coney__gpt-oss_claude-sonnet4.6_latest_20260520_204952_m08.json,coney_/gpt-oss_claude-sonnet4.6:latest,18.42068,False,2026-05-20T21:24:04.713705
ka_validation_coney__gpt-oss_claude-sonnet4.6_latest_20260520_204952_m08.json,coney_/gpt-oss_claude-sonnet4.6:latest,18.93151,False,2026-05-20T21:24:04.713705
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_deepseek-r1_latest_20260520_204952_m05.json,deepseek-r1:latest,0,True,2026-05-20T21:14:04.994538
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.0,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.0,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.0,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.0,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.0,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.0,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.0,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.0045,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.13853,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.22654,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.5407,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.5407,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.73353,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,0.89926,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,1.68822,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,2.27828,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,2.65161,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,3.38182,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,3.9009,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260520_204952_m03.json,gemma3:27b,5.23908,False,2026-05-20T21:04:56.588047
ka_validation_gemma3_27b_20260521_170040_m03.json,gemma3:27b,0.0,False,2026-05-22T07:31:47.138182
ka_validation_gemma3_27b_20260521_170040_m03.json,gemma3:27b,0.0,False,2026-05-22T07:31:47.138182
